2024-01-27 13:46:06,121 INFO    MainThread:65521 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_setup.py:_flush():76] Configure stats pid to 65521
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_setup.py:_flush():76] Loading settings from /home/hujin/.config/wandb/settings
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_setup.py:_flush():76] Loading settings from /home/hujin/cyq/wandb/settings
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/hujin/cyq/main.py', 'program': '/home/hujin/cyq/main.py'}
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_init.py:_log_setup():526] Logging user logs to /home/hujin/cyq/wandb/run-20240127_134606-ol8o4got/logs/debug.log
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_init.py:_log_setup():527] Logging internal logs to /home/hujin/cyq/wandb/run-20240127_134606-ol8o4got/logs/debug-internal.log
2024-01-27 13:46:06,122 INFO    MainThread:65521 [wandb_init.py:init():566] calling init triggers
2024-01-27 13:46:06,123 INFO    MainThread:65521 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2024-01-27 13:46:06,123 INFO    MainThread:65521 [wandb_init.py:init():616] starting backend
2024-01-27 13:46:06,123 INFO    MainThread:65521 [wandb_init.py:init():620] setting up manager
2024-01-27 13:46:06,124 INFO    MainThread:65521 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-27 13:46:06,126 INFO    MainThread:65521 [wandb_init.py:init():628] backend started and connected
2024-01-27 13:46:06,129 INFO    MainThread:65521 [wandb_init.py:init():720] updated telemetry
2024-01-27 13:46:06,129 INFO    MainThread:65521 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-27 13:46:07,625 INFO    MainThread:65521 [wandb_run.py:_on_init():2254] communicating current version
2024-01-27 13:46:12,632 INFO    MainThread:65521 [wandb_run.py:_on_init():2263] got version response 
2024-01-27 13:46:12,632 INFO    MainThread:65521 [wandb_init.py:init():804] starting run threads in backend
2024-01-27 13:46:17,915 INFO    MainThread:65521 [wandb_run.py:_console_start():2233] atexit reg
2024-01-27 13:46:17,915 INFO    MainThread:65521 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-27 13:46:17,916 INFO    MainThread:65521 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-27 13:46:17,916 INFO    MainThread:65521 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-27 13:46:17,917 INFO    MainThread:65521 [wandb_init.py:init():847] run started, returning control to user process
2024-01-27 13:46:17,921 INFO    MainThread:65521 [wandb_run.py:_finish():1962] finishing run sallychenyq/my-awesome-project/ol8o4got
2024-01-27 13:46:17,921 INFO    MainThread:65521 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-01-27 13:46:17,921 INFO    MainThread:65521 [wandb_run.py:_restore():2185] restore
2024-01-27 13:46:17,921 INFO    MainThread:65521 [wandb_run.py:_restore():2191] restore done
2024-01-27 13:46:24,472 INFO    MainThread:65521 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-01-27 13:46:24,473 INFO    MainThread:65521 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
2024-01-27 13:46:24,476 INFO    MainThread:65521 [wandb_run.py:_footer_sync_info():3816] logging synced files
